순위,도서명,저자,출판사,발행연도,대출횟수,카테고리,저자소개,책소개,목차,출판사서평,추천사,서평+추천사
1,"['성', '신학']","['베르나르', '샤를', '앙드레']",['가톨릭출판사'], ,28,국내도서 종교 기독교개신교 목회와 신학 신학일반 국내도서 종교 기독교개신교 목회와 신학 설교성경연구,"['사이', '몬', '찬', '싱가포르', '트리니티', '신학', '대학', '조직', '신학', '가르치고', '케임브리지', '대학', '수덕', '경건', '기초', '청교도', '묵상', '전통', '관', '논문', '철학', '박사', '학위', '받은', '아시아', '신학자']","['신', '학적', '성찰', '경건', '삶', '분리', '되어서는', '안', '된다', '불행히도', '계몽', '주의', '시대', '신학', '교리', '삶', '나누어', '놓았으며', '현상', '다를', '약화', '시켰다', '대해', '본', '서는', '조직', '신학', '경건', '실천', '다루면서', '교리', '삶', '적절하게', '연결', '시킨다', '저자', '먼저', '조직', '신학', '주요', '주제', '하나님', '죄', '구원', '교회', '대한', '교리', '탐구', '시작', '하여', '기도', '말씀', '묵상', '이어지는', '영성', '실천', '대한', '성찰', '나아간다', '특히', '저명한', '아시아', '신학자', '저자', '아시아', '관점', '동', '서양', '문화', '아우를', '뿐', '아니라', '복음주의', '적이면서도', '에큐메니컬', '토대', '개신교', '가톨릭', '동방', '정교회', '전통', '자료', '오늘날', '신', '학적', '조류', '염두', '두고', '신학', '영성', '깊이', '있게', '검토', '하며', '통합', '하려는', '사려', '깊은', '성찰', '기도', '마음', '읽어', '나가야', '책', '본', '서', '목적', '복음주의자', '체계', '학문', '으로서의', '영성', '신학', '접해', '보도록', '세', '면', '까지의', '전통', '영성', '신학', '연구', '다르다', '본', '서는', '동양', '서양', '관점', '으로부터', '나오는', '다양한', '문제', '대한', '논의', '폭넓은', '상황', '기초', '제공', '하려고', '복음주의', '관점', '영성', '신학', '고찰', '서', '복음주의', '이라는', '단어', '기독교', '이야기', '창조', '삶', '예수', '그리스도', '통', '하여', '하나님', '맺게', '의식', '인격', '관계', '구별', '삶', '의미', '본', '서는', '은혜', '삶', '하나님', '주시', '놀라운', '수용', '은사', '주의', '차원', '포함', '간주']","['한국어', '판', '서', '문', '감사', '글', '서', '문', '부', '영성', '신학', '신', '학적', '원리', '기독교', '영성', '신학', '본질', '기준', '기독교', '영성', '토대', '로서', '신론', '죄', '본', '성', '구원', '영적', '진보', '삶', '성', '도의', '공동체', '로서', '교회', '부', '영적', '생활', '위', '실천', '기도', '신학', '기도', '생활', '하나님', '자아', '초점', '둔', '영성', '훈련', '말씀', '초점', '둔', '영성', '훈련', '초점', '둔', '영성', '훈련', '생활', '규칙', '분별', '영적', '지도', '기술', '주', '참고', '문헌', '인명', '색인', '주제', '색인', '역자', '후기']",[],"['책', '보았을', '손', '보물', '들고', '있구나', '들었다', '신학교', '교수', '행정가', '신학생', '목회자', '기독교', '지도자', '책', '진지하게', '공부', '하기를', '권한다', '찬', '교회', '역사', '세계', '보물', '같은', '자료', '모아', '오늘날', '필요', '특히', '영적', '삶', '제대로', '이해', '하고자', '현대', '복음주의', '절실', '필요', '초점', '맞추고', '달라스', '윌라드', '하나님', '음성', '자영', '성', '대한', '새로운', '관심', '유행', '넘어서는', '되려면', '건전한', '신', '학적', '성찰', '연결', '되어야만', '사이', '몬', '찬', '신학', '하나님', '과의', '관계', '표현', '될', '있', '음', '보여', '주면서', '리처드', '마', '우', '총장', '영성', '조직', '신학', '통합', '아시아', '상황', '고려', '아시아', '신학자', '성찰', '복음주의', '적이면서도', '에큐메니컬', '관점', '북미', '복음주의', '신학교', '영성', '신학', '분야', '교과서']","['책', '보았을', '손', '보물', '들고', '있구나', '들었다', '신학교', '교수', '행정가', '신학생', '목회자', '기독교', '지도자', '책', '진지하게', '공부', '하기를', '권한다', '찬', '교회', '역사', '세계', '보물', '같은', '자료', '모아', '오늘날', '필요', '특히', '영적', '삶', '제대로', '이해', '하고자', '현대', '복음주의', '절실', '필요', '초점', '맞추고', '달라스', '윌라드', '하나님', '음성', '자영', '성', '대한', '새로운', '관심', '유행', '넘어서는', '되려면', '건전한', '신', '학적', '성찰', '연결', '되어야만', '사이', '몬', '찬', '신학', '하나님', '과의', '관계', '표현', '될', '있', '음', '보여', '주면서', '리처드', '마', '우', '총장', '영성', '조직', '신학', '통합', '아시아', '상황', '고려', '아시아', '신학자', '성찰', '복음주의', '적이면서도', '에큐메니컬', '관점', '북미', '복음주의', '신학교', '영성', '신학', '분야', '교과서']"
2,"['보편', '공의회']","['샤츠', '클라우스', '이종']",['분도출판사'], ,23,국내도서 종교 천주교 신학교리,"['예수회', '신부', '이자', '프랑크푸르트', '상트', '게오르겐', '철학', '신학', '대학', '교', '회사', '교수']","['가톨릭', '교회', '역사', '공의회', '역사', '라', '해도', '과언', '아니다', '역사', '복잡하고', '파란만장하다', '이해', '관계', '해석', '개념', '다양할', '밖에', '없었다', '논란', '분란', '적지', '않았다', '공의회', '이름', '했는가', '논의', '했고', '결론', '도달', '했는가', '갈등', '이었던가', '공의회', '역사', '대한', '모든', '의문', '답', '책', '없다', '책', '권', '모든', '안개', '걷힐', '이라고', '호언', '교만', '겠다', '적어도', '공의회', '이해', '데', '좋은', '안내', '역할', '충분히', '공부', '될', '인지', '아는데', '부족하지', '더욱', '중요한', '독자', '품음', '직한', '의문', '가운데', '많은', '책', '속', '비교', '석', '명', '게', '대답', '되어', '있다는', '점']","['머리말', '서론', '공의회', '보편', '인가', '공의회', '제도', '기원', '니케아', '공의회', '수용', '삼위일체', '교의', '둘러싼', '싸움', '니케아', '공의회', '에페소', '공의회', '칼케돈', '공의회', '총', '대', '주교좌', '국가', '교회', '깨어지기', '쉬운', '일치', '칼케돈', '후', '고대', '교회', '공의회', '중세', '전성기', '교황', '공의회', '교회', '일치', '개혁', '세기', '공의회', '공의회', '교파', '화', '트렌토', '공의회', '공의회', '권위', '원칙', '차', '바티칸', '공의회', '공의회', '적응', '차', '바티칸', '공의회', '참고문헌', '약어', '표', '인명', '찾기', '찾기']",[],[],[]
